scoreUpdatePerTrial,scoreAtEveryTrial
8,8
-6,2
8,10
-8,2
-4,-2
2,0
6,6
4,10
6,16
-6,10
4,14
4,18
-8,10
6,16
6,22
-6,16
-2,14
10,24
8,32
8,40
10,50
12,62
12,74
-6,68
10,78
10,88
6,94
4,98
8,106
10,116
10,126
4,130
-4,126
10,136
6,142
10,152
2,154
-6,148
14,162
10,172
-4,168
10,178
4,182
12,194
6,200
10,210
10,220
-2,218
10,228
-4,224
0,0
12,12
8,20
12,32
-6,26
6,32
8,40
2,42
1,43
6,49
10,59
-6,53
10,63
4,67
10,77
10,87
6,93
8,101
12,113
-4,109
8,117
6,123
10,133
12,145
4,149
10,159
-6,153
10,163
6,169
-14,155
8,163
10,173
-2,171
12,183
-6,177
12,189
10,199
10,209
-6,203
10,213
4,217
-6,211
10,221
6,227
10,237
-6,231
-8,223
8,231
6,237
12,249
12,261
0,0
12,12
4,16
12,28
10,38
8,46
4,50
-14,36
6,42
12,54
12,66
6,72
10,82
10,92
8,100
4,104
-6,98
6,104
8,112
10,122
10,132
10,142
10,152
12,164
1,165
6,171
10,181
12,193
6,199
12,211
-8,203
-1,202
8,210
10,220
-14,206
6,212
12,224
10,234
6,240
12,252
-4,248
14,262
4,266
8,274
10,284
10,294
-6,288
4,292
-8,284
12,296
14,310
0,0
2,2
12,14
12,26
8,34
10,44
14,58
8,66
10,76
10,86
12,98
14,112
12,124
-14,110
2,112
10,122
8,130
-14,116
4,120
12,132
10,142
6,148
6,154
14,168
14,182
14,196
6,202
10,212
8,220
10,230
14,244
14,258
12,270
6,276
14,290
10,300
-8,292
12,304
10,314
12,326
10,336
14,350
-8,342
8,350
-16,334
12,346
10,356
14,370
14,384
-4,380
2,382
0,0
12,12
10,22
12,34
14,48
14,62
14,76
-14,62
4,66
0,66
10,76
2,78
12,90
12,102
4,106
8,114
14,128
12,140
8,148
8,156
10,166
6,172
12,184
12,196
10,206
10,216
10,226
4,230
12,242
-8,234
10,244
8,252
-6,246
12,258
2,260
6,266
10,276
12,288
12,300
-4,296
-6,290
12,302
8,310
8,318
10,328
10,338
12,350
-6,344
12,356
-4,352
14,366
0,0
12,12
10,22
10,32
10,42
10,52
6,58
10,68
10,78
12,90
-14,76
14,90
8,98
12,110
14,124
6,130
14,144
12,156
14,170
8,178
14,192
8,200
-6,194
