scoreUpdatePerTrial,scoreAtEveryTrial
5,5
6,11
-3,8
5,13
-5,8
8,16
3,19
8,27
8,35
8,43
5,48
6,54
8,62
-5,57
8,65
8,73
-6,67
5,72
6,78
-8,70
8,78
8,86
-8,78
6,84
-6,78
-8,70
-3,67
-8,59
5,64
6,70
6,76
5,81
-3,78
-5,73
8,8
8,16
-8,8
5,13
5,18
8,26
8,34
8,42
6,48
8,56
-8,48
-8,40
8,48
8,56
6,62
-6,56
8,64
8,72
8,80
-8,72
3,75
-1,74
5,79
-6,73
5,78
8,86
5,91
-5,86
-6,80
6,86
-6,80
6,86
6,92
-8,84
-8,-8
8,0
-6,-6
8,2
5,7
-6,1
5,6
-1,5
8,13
-6,7
6,13
-3,10
-5,5
-8,-3
8,5
5,10
6,16
-3,13
5,18
8,26
-8,18
6,24
6,30
6,36
-6,30
-1,29
6,35
-5,30
-8,22
5,27
6,33
8,41
8,49
5,54
8,8
-6,2
8,10
6,16
8,24
-5,19
-8,11
-6,5
6,11
6,17
8,25
8,33
-8,25
5,30
8,38
8,46
-6,40
5,45
-8,37
6,43
6,49
8,57
6,63
8,71
6,77
6,83
8,91
6,97
-6,91
8,99
5,104
6,110
-6,104
8,112
