scoreUpdatePerTrial,scoreAtEveryTrial
12,12
14,26
-2,24
12,36
12,48
14,62
8,70
-4,66
-14,52
6,58
-16,42
8,50
-8,42
12,54
-14,40
10,50
-8,42
-14,28
6,34
-4,30
10,40
6,46
-4,42
8,50
-8,42
6,48
10,58
-8,50
12,62
10,72
10,82
-8,74
12,86
12,98
12,110
12,122
-14,108
4,112
8,120
-8,112
-6,106
14,120
-6,114
10,124
10,134
-14,120
10,130
14,144
12,156
6,162
0,0
-6,-6
-2,-8
10,2
-14,-12
10,-2
-8,-10
10,0
10,10
12,22
6,28
-1,27
-16,11
10,21
12,33
10,43
-14,29
8,37
10,47
6,53
8,61
-8,53
8,61
8,69
14,83
8,91
12,103
12,115
14,129
12,141
12,153
12,165
-16,149
10,159
8,167
10,177
10,187
-6,181
12,193
-8,185
10,195
6,201
12,213
14,227
12,239
-6,233
8,241
6,247
10,257
10,267
14,281
0,0
10,10
8,18
-14,4
14,18
12,30
12,42
6,48
-14,34
8,42
-8,34
8,42
6,48
-14,34
12,46
-6,40
12,52
12,64
10,74
8,82
10,92
14,106
14,120
-6,114
14,128
10,138
-16,122
12,134
12,146
10,156
-2,154
8,162
-8,154
12,166
8,174
6,180
12,192
8,200
8,208
12,220
12,232
12,244
10,254
14,268
-4,264
6,270
-16,254
12,266
8,274
10,284
12,296
0,0
-4,-4
-4,-8
14,6
8,14
10,24
-8,16
12,28
14,42
-14,28
10,38
-8,30
14,44
10,54
12,66
12,78
6,84
10,94
-4,90
14,104
8,112
12,124
-14,110
8,118
8,126
4,130
14,144
14,158
10,168
10,178
12,190
10,200
6,206
-6,200
14,214
12,226
12,238
6,244
-6,238
-8,230
12,242
6,248
8,256
14,270
14,284
-8,276
12,288
12,300
12,312
0,312
8,320
0,0
12,12
4,16
12,28
14,42
12,54
-8,46
14,60
14,74
8,82
12,94
14,108
14,122
12,134
12,146
12,158
-6,152
6,158
-14,144
10,154
8,162
-14,148
12,160
12,172
8,180
-4,176
2,178
8,186
-14,172
6,178
10,188
8,196
-6,190
4,194
12,206
4,210
4,214
12,226
8,234
-8,226
8,234
-16,218
10,228
8,236
8,244
0,244
-16,228
10,238
2,240
-4,236
10,246
0,0
6,6
6,12
4,16
-6,10
6,16
10,26
2,28
10,38
12,50
10,60
-4,56
12,68
-4,64
8,72
12,84
10,94
-6,88
8,96
6,102
10,112
6,118
10,128
