scoreUpdatePerTrial,scoreAtEveryTrial
8,8
4,12
0,12
0,12
8,20
-6,14
-16,-2
8,6
0,6
-14,-8
6,-2
4,2
-8,-6
-8,-14
8,-6
10,4
12,16
4,20
8,28
6,34
4,38
-8,30
-14,16
4,20
12,32
8,40
-6,34
10,44
10,54
12,66
14,80
12,92
12,104
12,116
-6,110
-16,94
2,96
-8,88
12,100
8,108
-1,107
8,115
6,121
10,131
8,139
6,145
6,151
10,161
-4,157
4,161
0,0
2,2
6,8
12,20
12,32
-2,30
0,30
-8,22
6,28
-2,26
14,40
-14,26
-4,22
-16,6
-14,-8
12,4
-8,-4
-1,-5
12,7
8,15
-1,14
-1,13
8,21
10,31
-14,17
12,29
-4,25
8,33
4,37
-2,35
6,41
-8,33
8,41
4,45
-2,43
1,44
6,50
6,56
2,58
-14,44
10,54
14,68
1,69
8,77
-16,61
1,62
12,74
4,78
14,92
-14,78
10,88
0,0
8,8
1,9
-6,3
12,15
-4,11
0,11
8,19
-1,18
8,26
10,36
10,46
10,56
0,56
-2,54
-8,46
12,58
12,70
12,82
-16,66
8,74
-6,68
6,74
-6,68
6,74
-16,58
8,66
-14,52
14,66
12,78
-4,74
-6,68
6,74
6,80
8,88
4,92
-8,84
-6,78
2,80
-4,76
10,86
8,94
6,100
12,112
14,126
8,134
2,136
14,150
-6,144
8,152
-14,138
0,0
8,8
12,20
6,26
14,40
6,46
4,50
-14,36
12,48
-2,46
-2,44
10,54
-6,48
12,60
6,66
-8,58
-1,57
10,67
10,77
8,85
10,95
4,99
10,109
8,117
6,123
1,124
10,134
6,140
10,150
10,160
8,168
12,180
6,186
14,200
8,208
8,216
10,226
-6,220
14,234
4,238
-8,230
12,242
-6,236
4,240
10,250
14,264
12,276
10,286
12,298
-6,292
10,302
0,0
8,8
10,18
10,28
-6,22
-6,16
-14,2
-8,-6
-14,-20
6,-14
-2,-16
12,-4
-4,-8
4,-4
10,6
12,18
6,24
-4,20
14,34
8,42
8,50
14,64
12,76
-4,72
6,78
10,88
12,100
8,108
10,118
8,126
12,138
12,150
-16,134
8,142
6,148
8,156
-1,155
6,161
10,171
6,177
10,187
6,193
8,201
10,211
-6,205
-4,201
-6,195
8,203
-8,195
6,201
-8,193
0,0
10,10
14,24
14,38
-6,32
10,42
12,54
12,66
-14,52
12,64
14,78
4,82
-8,74
8,82
2,84
8,92
10,102
6,108
14,122
-6,116
10,126
8,134
-14,120
