scoreUpdatePerTrial,scoreAtEveryTrial
8,8
10,18
12,30
14,44
12,56
-14,42
-14,28
8,36
12,48
8,56
14,70
12,82
12,94
12,106
12,118
10,128
-8,120
-6,114
10,124
-14,110
2,112
-4,108
-2,106
12,118
12,130
-16,114
12,126
8,134
14,148
8,156
-1,155
-6,149
0,149
-8,141
1,142
2,144
8,152
12,164
10,174
1,175
2,177
10,187
6,193
6,199
14,213
12,225
2,227
-8,219
8,227
1,228
0,0
8,8
-8,0
12,12
1,13
1,14
10,24
10,34
6,40
12,52
6,58
10,68
-4,64
8,72
6,78
-4,74
6,80
6,86
4,90
-4,86
10,96
-8,88
6,94
-6,88
10,98
2,100
-6,94
10,104
1,105
10,115
10,125
-14,111
12,123
12,135
-6,129
6,135
14,149
10,159
8,167
6,173
6,179
-8,171
4,175
2,177
10,187
12,199
-16,183
-16,167
4,171
10,181
-1,180
0,0
10,10
-14,-4
-8,-12
-8,-20
-8,-28
1,-27
10,-17
10,-7
10,3
-2,1
14,15
10,25
1,26
-4,22
6,28
1,29
6,35
8,43
12,55
-14,41
6,47
8,55
8,63
10,73
-14,59
12,71
12,83
10,93
8,101
4,105
12,117
1,118
10,128
10,138
4,142
8,150
12,162
4,166
1,167
4,171
8,179
-14,165
-8,157
12,169
14,183
12,195
14,209
14,223
14,237
12,249
0,0
14,14
10,24
-14,10
12,22
14,36
12,48
14,62
4,66
14,80
10,90
-4,86
-6,80
12,92
-14,78
-14,64
10,74
-14,60
4,64
8,72
-6,66
14,80
12,92
14,106
-8,98
-4,94
-6,88
8,96
8,104
10,114
-8,106
-16,90
-14,76
12,88
4,92
12,104
8,112
0,112
12,124
-4,120
-16,104
-16,88
8,96
14,110
6,116
-14,102
14,116
6,122
12,134
10,144
-6,138
0,0
12,12
-16,-4
-4,-8
8,0
-4,-4
-6,-10
10,0
-8,-8
12,4
-8,-4
10,6
6,12
-8,4
-6,-2
-2,-4
-2,-6
14,8
0,8
12,20
2,22
6,28
6,34
10,44
8,52
12,64
-14,50
8,58
6,64
-4,60
2,62
12,74
2,76
1,77
12,89
10,99
12,111
14,125
10,135
2,137
-8,129
12,141
2,143
12,155
10,165
2,167
10,177
4,181
12,193
-1,192
10,202
0,0
14,14
-14,0
6,6
14,20
4,24
8,32
12,44
6,50
6,56
12,68
10,78
10,88
14,102
-4,98
-6,92
8,100
10,110
14,124
-4,120
-6,114
4,118
2,120
